No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,AAPL,Apple Inc.,15.92%,310448,2026-08-07
2,NVDA,NVIDIA Corporation,15.35%,511929,2026-08-07
3,GOOGL,Alphabet Inc.,6.36%,123945,2026-08-07
4,MSFT,Microsoft Corporation,6.08%,87625,2026-08-07
5,GOOG,Alphabet Inc.,5.13%,99907,2026-08-07
6,AVGO,Broadcom Inc.,4.62%,77447,2026-08-07
7,AMZN,"Amazon.com, Inc.",4.39%,121095,2026-08-07
8,META,"Meta Platforms, Inc.",4.18%,50468,2026-08-07
9,MU,"Micron Technology, Inc.",4.11%,30565,2026-08-07
10,JPM,JPMorgan Chase & Co.,3.92%,72635,2026-08-07
11,BRK.B,Berkshire Hathaway Inc.,3.90%,49710,2026-08-07
12,LLY,Eli Lilly and Company,3.81%,21439,2026-08-07
13,TSLA,"Tesla, Inc.",3.59%,75519,2026-08-07
14,AMD,"Advanced Micro Devices, Inc.",3.30%,44205,2026-08-07
15,XOM,ExxonMobil Holdings Corporation,2.71%,112371,2026-08-07
16,JNJ,Johnson & Johnson,2.57%,65259,2026-08-07
17,V,Visa Inc.,2.53%,44998,2026-08-07
18,WMT,Walmart Inc.,2.03%,118844,2026-08-07
19,CSCO,"Cisco Systems, Inc.",1.87%,107087,2026-08-07
20,INTC,Intel Corporation,1.80%,128087,2026-08-07
