No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,16.92%,511929,2026-08-21
2,AAPL,Apple Inc.,13.90%,310448,2026-08-21
3,MSFT,Microsoft Corporation,6.39%,87625,2026-08-21
4,GOOGL,Alphabet Inc.,6.30%,123945,2026-08-21
5,GOOG,Alphabet Inc.,5.04%,99907,2026-08-21
6,AVGO,Broadcom Inc.,4.75%,77447,2026-08-21
7,AMZN,"Amazon.com, Inc.",4.71%,121095,2026-08-21
8,META,"Meta Platforms, Inc.",4.40%,50468,2026-08-21
9,MU,"Micron Technology, Inc.",4.26%,30565,2026-08-21
10,JPM,JPMorgan Chase & Co.,3.87%,72635,2026-08-21
11,LLY,Eli Lilly and Company,3.80%,21439,2026-08-21
12,TSLA,"Tesla, Inc.",3.77%,75519,2026-08-21
13,BRK.B,Berkshire Hathaway Inc.,3.70%,49710,2026-08-21
14,AMD,"Advanced Micro Devices, Inc.",3.13%,44205,2026-08-21
15,XOM,ExxonMobil Holdings Corporation,2.61%,112371,2026-08-21
16,JNJ,Johnson & Johnson,2.51%,65259,2026-08-21
17,V,Visa Inc.,2.41%,44998,2026-08-21
18,INTC,Intel Corporation,2.05%,133765,2026-08-21
19,WMT,Walmart Inc.,2.02%,118844,2026-08-21
20,CSCO,"Cisco Systems, Inc.",1.78%,107087,2026-08-21
