No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,17.27%,506829,2026-09-04
2,AAPL,Apple Inc.,14.45%,307348,2026-09-04
3,MSFT,Microsoft Corporation,6.55%,86755,2026-09-04
4,GOOGL,Alphabet Inc.,6.25%,122705,2026-09-04
5,GOOG,Alphabet Inc.,4.99%,98907,2026-09-04
6,AMZN,"Amazon.com, Inc.",4.59%,119885,2026-09-04
7,META,"Meta Platforms, Inc.",4.27%,49968,2026-09-04
8,AVGO,Broadcom Inc.,4.26%,76677,2026-09-04
9,MU,"Micron Technology, Inc.",4.23%,30265,2026-09-04
10,TSLA,"Tesla, Inc.",3.97%,74769,2026-09-04
11,JPM,JPMorgan Chase & Co.,3.81%,71915,2026-09-04
12,LLY,Eli Lilly and Company,3.73%,21229,2026-09-04
13,BRK.B,Berkshire Hathaway Inc.,3.70%,49210,2026-09-04
14,AMD,"Advanced Micro Devices, Inc.",3.12%,43765,2026-09-04
15,XOM,ExxonMobil Holdings Corporation,2.60%,111251,2026-09-04
16,JNJ,Johnson & Johnson,2.57%,64609,2026-09-04
17,V,Visa Inc.,2.53%,44548,2026-09-04
18,INTC,Intel Corporation,1.82%,132435,2026-09-04
19,WMT,Walmart Inc.,1.81%,117664,2026-09-04
20,CSCO,"Cisco Systems, Inc.",1.78%,106017,2026-09-04
