No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,15.66%,516009,2026-07-17
2,AAPL,Apple Inc.,14.80%,312928,2026-07-17
3,GOOGL,Alphabet Inc.,6.57%,124937,2026-07-17
4,GOOG,Alphabet Inc.,5.26%,100707,2026-07-17
5,MSFT,Microsoft Corporation,5.15%,88321,2026-07-17
6,META,"Meta Platforms, Inc.",4.98%,50868,2026-07-17
7,AMZN,"Amazon.com, Inc.",4.50%,122063,2026-07-17
8,TSLA,"Tesla, Inc.",4.48%,76119,2026-07-17
9,AVGO,Broadcom Inc.,4.47%,78063,2026-07-17
10,MU,"Micron Technology, Inc.",4.30%,30805,2026-07-17
11,LLY,Eli Lilly and Company,3.81%,21607,2026-07-17
12,BRK.B,Berkshire Hathaway Inc.,3.71%,50110,2026-07-17
13,JPM,JPMorgan Chase & Co.,3.65%,73211,2026-07-17
14,AMD,"Advanced Micro Devices, Inc.",3.55%,44557,2026-07-17
15,JNJ,Johnson & Johnson,2.53%,65779,2026-07-17
16,XOM,ExxonMobil Holdings Corporation,2.44%,113267,2026-07-17
17,V,Visa Inc.,2.42%,45358,2026-07-17
18,WMT,Walmart Inc.,2.05%,119788,2026-07-17
19,INTC,Intel Corporation,1.98%,129111,2026-07-17
20,CSCO,"Cisco Systems, Inc.",1.92%,107943,2026-07-17
