No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,16.23%,519069,2026-07-31
2,AAPL,Apple Inc.,15.85%,314788,2026-07-31
3,GOOGL,Alphabet Inc.,6.07%,125681,2026-07-31
4,MSFT,Microsoft Corporation,5.13%,88843,2026-07-31
5,GOOG,Alphabet Inc.,4.89%,101307,2026-07-31
6,META,"Meta Platforms, Inc.",4.60%,51168,2026-07-31
7,AVGO,Broadcom Inc.,4.53%,78525,2026-07-31
8,MU,"Micron Technology, Inc.",4.31%,30985,2026-07-31
9,AMZN,"Amazon.com, Inc.",4.31%,122789,2026-07-31
10,JPM,JPMorgan Chase & Co.,3.93%,73643,2026-07-31
11,LLY,Eli Lilly and Company,3.93%,21733,2026-07-31
12,BRK.B,Berkshire Hathaway Inc.,3.77%,50410,2026-07-31
13,TSLA,"Tesla, Inc.",3.62%,76569,2026-07-31
14,AMD,"Advanced Micro Devices, Inc.",3.54%,44821,2026-07-31
15,XOM,ExxonMobil Holdings Corporation,2.70%,113939,2026-07-31
16,JNJ,Johnson & Johnson,2.63%,66169,2026-07-31
17,V,Visa Inc.,2.45%,45628,2026-07-31
18,WMT,Walmart Inc.,1.99%,120496,2026-07-31
19,CSCO,"Cisco Systems, Inc.",1.87%,108585,2026-07-31
20,INTC,Intel Corporation,1.81%,129879,2026-07-31
