No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,15.35%,508359,2026-07-03
2,AAPL,Apple Inc.,13.87%,308278,2026-07-03
3,GOOGL,Alphabet Inc.,6.80%,123077,2026-07-03
4,GOOG,Alphabet Inc.,5.43%,99207,2026-07-03
5,MSFT,Microsoft Corporation,5.11%,87016,2026-07-03
6,TSLA,"Tesla, Inc.",4.88%,74994,2026-07-03
7,MU,"Micron Technology, Inc.",4.79%,30355,2026-07-03
8,META,"Meta Platforms, Inc.",4.70%,50118,2026-07-03
9,AMZN,"Amazon.com, Inc.",4.44%,120248,2026-07-03
10,AVGO,Broadcom Inc.,4.34%,76908,2026-07-03
11,LLY,Eli Lilly and Company,3.88%,21292,2026-07-03
12,BRK.B,Berkshire Hathaway Inc.,3.77%,49360,2026-07-03
13,JPM,JPMorgan Chase & Co.,3.68%,72131,2026-07-03
14,AMD,"Advanced Micro Devices, Inc.",3.63%,43897,2026-07-03
15,JNJ,Johnson & Johnson,2.52%,64804,2026-07-03
16,INTC,Intel Corporation,2.47%,127191,2026-07-03
17,V,Visa Inc.,2.40%,44683,2026-07-03
18,XOM,ExxonMobil Holdings Corporation,2.32%,111587,2026-07-03
19,WMT,Walmart Inc.,1.96%,118018,2026-07-03
20,CSCO,"Cisco Systems, Inc.",1.90%,106338,2026-07-03
