No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,16.86%,512087,2026-06-05
2,AAPL,Apple Inc.,14.50%,309414,2026-06-05
3,GOOGL,Alphabet Inc.,6.92%,123473,2026-06-05
4,MSFT,Microsoft Corporation,5.80%,90002,2026-06-05
5,GOOG,Alphabet Inc.,5.53%,99473,2026-06-05
6,MU,"Micron Technology, Inc.",4.87%,32481,2026-06-05
7,AVGO,Broadcom Inc.,4.86%,77025,2026-06-05
8,AMZN,"Amazon.com, Inc.",4.73%,123737,2026-06-05
9,TSLA,"Tesla, Inc.",4.06%,64490,2026-06-05
10,LLY,Eli Lilly and Company,3.88%,22902,2026-06-05
11,BRK.B,Berkshire Hathaway Inc.,3.82%,52952,2026-06-05
12,META,"Meta Platforms, Inc.",3.79%,40148,2026-06-05
13,JPM,JPMorgan Chase & Co.,3.65%,77940,2026-06-05
14,XOM,Exxon Mobil Corporation,2.77%,120804,2026-06-05
15,JNJ,Johnson & Johnson,2.40%,69721,2026-06-05
16,V,Visa Inc.,2.34%,48612,2026-06-05
17,WMT,Walmart Inc.,2.25%,126708,2026-06-05
18,COST,Costco Wholesale Corporation,1.88%,12808,2026-06-05
19,ABBV,AbbVie Inc.,1.73%,51030,2026-06-05
20,MA,Mastercard Incorporated,1.71%,23519,2026-06-05
