No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,16.49%,510909,2026-08-14
2,AAPL,Apple Inc.,14.02%,309828,2026-08-14
3,MSFT,Microsoft Corporation,6.54%,87451,2026-08-14
4,GOOGL,Alphabet Inc.,6.31%,123697,2026-08-14
5,GOOG,Alphabet Inc.,5.08%,99707,2026-08-14
6,AMZN,"Amazon.com, Inc.",4.88%,120853,2026-08-14
7,AVGO,Broadcom Inc.,4.77%,77293,2026-08-14
8,META,"Meta Platforms, Inc.",4.48%,50368,2026-08-14
9,MU,"Micron Technology, Inc.",3.93%,30505,2026-08-14
10,JPM,JPMorgan Chase & Co.,3.89%,72491,2026-08-14
11,LLY,Eli Lilly and Company,3.86%,21397,2026-08-14
12,BRK.B,Berkshire Hathaway Inc.,3.80%,49610,2026-08-14
13,TSLA,"Tesla, Inc.",3.72%,75369,2026-08-14
14,AMD,"Advanced Micro Devices, Inc.",3.11%,44117,2026-08-14
15,XOM,ExxonMobil Holdings Corporation,2.66%,112147,2026-08-14
16,JNJ,Johnson & Johnson,2.51%,65129,2026-08-14
17,V,Visa Inc.,2.42%,44908,2026-08-14
18,WMT,Walmart Inc.,1.99%,118608,2026-08-14
19,CSCO,"Cisco Systems, Inc.",1.91%,106873,2026-08-14
20,INTC,Intel Corporation,1.85%,127831,2026-08-14
