No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,15.76%,509379,2026-07-10
2,AAPL,Apple Inc.,14.68%,308898,2026-07-10
3,GOOGL,Alphabet Inc.,6.77%,123325,2026-07-10
4,GOOG,Alphabet Inc.,5.41%,99407,2026-07-10
5,MSFT,Microsoft Corporation,5.07%,87190,2026-07-10
6,META,"Meta Platforms, Inc.",4.59%,50218,2026-07-10
7,AVGO,Broadcom Inc.,4.54%,77062,2026-07-10
8,TSLA,"Tesla, Inc.",4.49%,75144,2026-07-10
9,AMZN,"Amazon.com, Inc.",4.45%,120490,2026-07-10
10,MU,"Micron Technology, Inc.",4.37%,30415,2026-07-10
11,LLY,Eli Lilly and Company,3.93%,21334,2026-07-10
12,BRK.B,Berkshire Hathaway Inc.,3.71%,49460,2026-07-10
13,JPM,JPMorgan Chase & Co.,3.62%,72275,2026-07-10
14,AMD,"Advanced Micro Devices, Inc.",3.45%,43985,2026-07-10
15,JNJ,Johnson & Johnson,2.59%,64934,2026-07-10
16,XOM,ExxonMobil Holdings Corporation,2.39%,111811,2026-07-10
17,V,Visa Inc.,2.36%,44773,2026-07-10
18,INTC,Intel Corporation,2.13%,127447,2026-07-10
19,WMT,Walmart Inc.,2.03%,118254,2026-07-10
20,CSCO,"Cisco Systems, Inc.",1.84%,106552,2026-07-10
