No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,15.89%,520089,2026-07-24
2,AAPL,Apple Inc.,15.49%,315408,2026-07-24
3,GOOGL,Alphabet Inc.,6.58%,125929,2026-07-24
4,GOOG,Alphabet Inc.,5.29%,101507,2026-07-24
5,MSFT,Microsoft Corporation,5.26%,89017,2026-07-24
6,META,"Meta Platforms, Inc.",5.02%,51268,2026-07-24
7,AMZN,"Amazon.com, Inc.",4.53%,123031,2026-07-24
8,TSLA,"Tesla, Inc.",4.42%,76719,2026-07-24
9,AVGO,Broadcom Inc.,4.34%,78679,2026-07-24
10,MU,"Micron Technology, Inc.",3.90%,31045,2026-07-24
11,LLY,Eli Lilly and Company,3.75%,21775,2026-07-24
12,JPM,JPMorgan Chase & Co.,3.73%,73787,2026-07-24
13,BRK.B,Berkshire Hathaway Inc.,3.67%,50510,2026-07-24
14,AMD,"Advanced Micro Devices, Inc.",3.31%,44909,2026-07-24
15,V,Visa Inc.,2.46%,45718,2026-07-24
16,XOM,ExxonMobil Holdings Corporation,2.46%,114163,2026-07-24
17,JNJ,Johnson & Johnson,2.44%,66299,2026-07-24
18,WMT,Walmart Inc.,2.04%,120732,2026-07-24
19,INTC,Intel Corporation,1.86%,130135,2026-07-24
20,CSCO,"Cisco Systems, Inc.",1.76%,108799,2026-07-24
