No.,Symbol,Name,% Weight,Shares,Snapshot_Date
1,NVDA,NVIDIA Corporation,15.76%,505299,2026-06-26
2,AAPL,Apple Inc.,14.08%,306418,2026-06-26
3,GOOGL,Alphabet Inc.,6.62%,122333,2026-06-26
4,GOOG,Alphabet Inc.,5.33%,98607,2026-06-26
5,MU,"Micron Technology, Inc.",4.96%,30175,2026-06-26
6,MSFT,Microsoft Corporation,4.95%,86494,2026-06-26
7,AVGO,Broadcom Inc.,4.58%,76446,2026-06-26
8,AMZN,"Amazon.com, Inc.",4.39%,119522,2026-06-26
9,TSLA,"Tesla, Inc.",4.39%,74544,2026-06-26
10,META,"Meta Platforms, Inc.",4.35%,49818,2026-06-26
11,BRK.B,Berkshire Hathaway Inc.,3.81%,49060,2026-06-26
12,JPM,JPMorgan Chase & Co.,3.75%,71699,2026-06-26
13,LLY,Eli Lilly and Company,3.71%,21166,2026-06-26
14,AMD,"Advanced Micro Devices, Inc.",3.55%,43633,2026-06-26
15,INTC,Intel Corporation,2.61%,126423,2026-06-26
16,JNJ,Johnson & Johnson,2.43%,64414,2026-06-26
17,XOM,Exxon Mobil Corporation,2.38%,110915,2026-06-26
18,V,Visa Inc.,2.31%,44413,2026-06-26
19,WMT,Walmart Inc.,2.19%,117310,2026-06-26
20,CSCO,"Cisco Systems, Inc.",1.98%,105696,2026-06-26
